athlete	team	medal	year	sport
athlete_000618	Germany	Gold	2018	sport_18
athlete_000619	Germany	NA	2019	sport_19
athlete_000620	Kenya	Gold	2000	sport_20
athlete_000621	United States	Silver	2001	sport_21
athlete_000622	Japan	Bronze	2002	sport_22
athlete_000623	Japan	NA	2003	sport_23
athlete_000624	Japan	NA	2004	sport_24
athlete_000625	Italy	Bronze	2005	sport_25
athlete_000626	Soviet Union	NA	2006	sport_26
athlete_000627	Soviet Union	Silver	2007	sport_27
athlete_000628	Germany	NA	2008	sport_28
athlete_000629	Germany	Gold	2009	sport_29
athlete_000630	Japan	NA	2010	sport_30
athlete_000631	United States	NA	2011	sport_31
athlete_000632	United States	NA	2012	sport_32
athlete_000633	United States	Gold	2013	sport_33
athlete_000634	Italy	Gold	2014	sport_34
athlete_000635	Germany	NA	2015	sport_35
athlete_000636	United States	NA	2016	sport_36
athlete_000637	France	NA	2017	sport_37
athlete_000638	Kenya	NA	2018	sport_38
athlete_000639	United States	Gold	2019	sport_39
athlete_000640	United States	NA	2000	sport_0
athlete_000641	Italy	NA	2001	sport_1
athlete_000642	Germany	NA	2002	sport_2
athlete_000643	United States	NA	2003	sport_3
athlete_000644	France	NA	2004	sport_4
athlete_000645	Italy	NA	2005	sport_5
athlete_000646	United States	Gold	2006	sport_6
athlete_000647	Italy	NA	2007	sport_7
athlete_000648	United States	Gold	2008	sport_8
athlete_000649	United States	Silver	2009	sport_9
athlete_000650	Kenya	Gold	2010	sport_10
athlete_000651	United States	NA	2011	sport_11
athlete_000652	United States	Silver	2012	sport_12
athlete_000653	Soviet Union	Gold	2013	sport_13
athlete_000654	Kenya	NA	2014	sport_14
athlete_000655	Italy	Bronze	2015	sport_15
athlete_000656	Soviet Union	NA	2016	sport_16
athlete_000657	Japan	NA	2017	sport_17
athlete_000658	United States	NA	2018	sport_18
athlete_000659	Kenya	NA	2019	sport_19
athlete_000660	United States	Bronze	2000	sport_20
athlete_000661	United States	Gold	2001	sport_21
athlete_000662	Kenya	Gold	2002	sport_22
athlete_000663	Japan	Bronze	2003	sport_23
athlete_000664	United States	NA	2004	sport_24
athlete_000665	United States	Silver	2005	sport_25
athlete_000666	Italy	NA	2006	sport_26
athlete_000667	Italy	NA	2007	sport_27
athlete_000668	Japan	Bronze	2008	sport_28
athlete_000669	United States	NA	2009	sport_29
athlete_000670	Soviet Union	Silver	2010	sport_30
athlete_000671	Japan	Silver	2011	sport_31
athlete_000672	United States	NA	2012	sport_32
athlete_000673	Japan	Bronze	2013	sport_33
athlete_000674	France	NA	2014	sport_34
athlete_000675	Germany	Gold	2015	sport_35
athlete_000676	Italy	NA	2016	sport_36
athlete_000677	United States	Gold	2017	sport_37
athlete_000678	United States	Bronze	2018	sport_38
athlete_000679	Soviet Union	NA	2019	sport_39
athlete_000680	United States	Silver	2000	sport_0
athlete_000681	Soviet Union	Bronze	2001	sport_1
athlete_000682	United States	NA	2002	sport_2
athlete_000683	United States	Gold	2003	sport_3
athlete_000684	France	NA	2004	sport_4
athlete_000685	United States	NA	2005	sport_5
athlete_000686	France	NA	2006	sport_6
athlete_000687	United States	Bronze	2007	sport_7
athlete_000688	France	Silver	2008	sport_8
athlete_000689	Kenya	Silver	2009	sport_9
athlete_000690	United States	Bronze	2010	sport_10
athlete_000691	France	NA	2011	sport_11
athlete_000692	Germany	NA	2012	sport_12
athlete_000693	France	NA	2013	sport_13
athlete_000694	Soviet Union	Gold	2014	sport_14
athlete_000695	Kenya	Silver	2015	sport_15
athlete_000696	United States	Gold	2016	sport_16
athlete_000697	United States	Silver	2017	sport_17
athlete_000698	France	NA	2018	sport_18
athlete_000699	Italy	NA	2019	sport_19
athlete_000700	Soviet Union	NA	2000	sport_20
athlete_000701	Japan	Gold	2001	sport_21
athlete_000702	Kenya	NA	2002	sport_22
athlete_000703	France	NA	2003	sport_23
athlete_000704	France	Gold	2004	sport_24
athlete_000705	United States	Silver	2005	sport_25
athlete_000706	Japan	Bronze	2006	sport_26
athlete_000707	Kenya	Silver	2007	sport_27
athlete_000708	France	Silver	2008	sport_28
athlete_000709	United States	Bronze	2009	sport_29
athlete_000710	United States	NA	2010	sport_30
athlete_000711	Italy	Gold	2011	sport_31
athlete_000712	Italy	Bronze	2012	sport_32
athlete_000713	Germany	Gold	2013	sport_33
athlete_000714	United States	Gold	2014	sport_34
athlete_000715	United States	NA	2015	sport_35
athlete_000716	Japan	NA	2016	sport_36
athlete_000717	Kenya	Gold	2017	sport_37
athlete_000718	France	Gold	2018	sport_38
athlete_000719	Germany	NA	2019	sport_39
athlete_000720	Germany	Bronze	2000	sport_0
athlete_000721	Germany	Bronze	2001	sport_1
athlete_000722	United States	Bronze	2002	sport_2
athlete_000723	United States	Bronze	2003	sport_3
athlete_000724	Kenya	NA	2004	sport_4
athlete_000725	United States	Gold	2005	sport_5
athlete_000726	Japan	Bronze	2006	sport_6
athlete_000727	Germany	Gold	2007	sport_7
athlete_000728	Italy	Gold	2008	sport_8
athlete_000729	Kenya	NA	2009	sport_9
athlete_000730	Japan	NA	2010	sport_10
athlete_000731	Japan	NA	2011	sport_11
athlete_000732	Japan	NA	2012	sport_12
athlete_000733	Soviet Union	Gold	2013	sport_13
athlete_000734	Italy	Gold	2014	sport_14
athlete_000735	Germany	Bronze	2015	sport_15
athlete_000736	United States	NA	2016	sport_16
athlete_000737	Japan	Silver	2017	sport_17
athlete_000738	Germany	NA	2018	sport_18
athlete_000739	Germany	NA	2019	sport_19
athlete_000740	United States	Gold	2000	sport_20
athlete_000741	Germany	NA	2001	sport_21
athlete_000742	France	Silver	2002	sport_22
athlete_000743	United States	NA	2003	sport_23
athlete_000744	France	NA	2004	sport_24
athlete_000745	Germany	Gold	2005	sport_25
athlete_000746	Italy	Bronze	2006	sport_26
athlete_000747	France	NA	2007	sport_27
athlete_000748	United States	NA	2008	sport_28
athlete_000749	United States	NA	2009	sport_29
athlete_000750	Italy	NA	2010	sport_30
athlete_000751	Germany	Silver	2011	sport_31
athlete_000752	Germany	NA	2012	sport_32
athlete_000753	United States	Bronze	2013	sport_33
athlete_000754	France	Bronze	2014	sport_34
athlete_000755	Germany	NA	2015	sport_35
athlete_000756	United States	NA	2016	sport_36
athlete_000757	United States	NA	2017	sport_37
athlete_000758	Germany	NA	2018	sport_38
athlete_000759	Japan	Bronze	2019	sport_39
athlete_000760	Kenya	Bronze	2000	sport_0
athlete_000761	Germany	NA	2001	sport_1
athlete_000762	Germany	Gold	2002	sport_2
athlete_000763	France	Gold	2003	sport_3
athlete_000764	Italy	Gold	2004	sport_4
athlete_000765	Soviet Union	NA	2005	sport_5
athlete_000766	Japan	Gold	2006	sport_6
athlete_000767	Germany	Gold	2007	sport_7
athlete_000768	United States	Silver	2008	sport_8
athlete_000769	Germany	Silver	2009	sport_9
athlete_000770	Kenya	Bronze	2010	sport_10
athlete_000771	Italy	Bronze	2011	sport_11
athlete_000772	United States	Gold	2012	sport_12
athlete_000773	United States	NA	2013	sport_13
athlete_000774	Italy	NA	2014	sport_14
athlete_000775	Kenya	Bronze	2015	sport_15
athlete_000776	United States	NA	2016	sport_16
athlete_000777	Japan	Silver	2017	sport_17
athlete_000778	France	NA	2018	sport_18
athlete_000779	Japan	NA	2019	sport_19
athlete_000780	Kenya	Bronze	2000	sport_20
athlete_000781	United States	Gold	2001	sport_21
athlete_000782	Kenya	Bronze	2002	sport_22
athlete_000783	Germany	NA	2003	sport_23
athlete_000784	United States	NA	2004	sport_24
athlete_000785	Soviet Union	NA	2005	sport_25
athlete_000786	United States	Silver	2006	sport_26
athlete_000787	Kenya	Gold	2007	sport_27
athlete_000788	Germany	NA	2008	sport_28
athlete_000789	Kenya	Gold	2009	sport_29
athlete_000790	United States	Bronze	2010	sport_30
athlete_000791	Germany	NA	2011	sport_31
athlete_000792	United States	Bronze	2012	sport_32
athlete_000793	Germany	Bronze	2013	sport_33
athlete_000794	Italy	NA	2014	sport_34
athlete_000795	Soviet Union	Bronze	2015	sport_35
athlete_000796	Germany	Gold	2016	sport_36
athlete_000797	France	NA	2017	sport_37
athlete_000798	Germany	Silver	2018	sport_38
athlete_000799	United States	NA	2019	sport_39
athlete_000800	Italy	Bronze	2000	sport_0
athlete_000801	France	NA	2001	sport_1
athlete_000802	France	NA	2002	sport_2
athlete_000803	United States	NA	2003	sport_3
athlete_000804	United States	NA	2004	sport_4
athlete_000805	Soviet Union	Gold	2005	sport_5
athlete_000806	United States	NA	2006	sport_6
athlete_000807	Germany	NA	2007	sport_7
athlete_000808	Italy	NA	2008	sport_8
athlete_000809	United States	NA	2009	sport_9
athlete_000810	Germany	NA	2010	sport_10
athlete_000811	Kenya	Gold	2011	sport_11
athlete_000812	Soviet Union	Bronze	2012	sport_12
athlete_000813	Germany	Gold	2013	sport_13
athlete_000814	France	NA	2014	sport_14
athlete_000815	United States	NA	2015	sport_15
athlete_000816	Italy	Bronze	2016	sport_16
athlete_000817	Germany	Gold	2017	sport_17
athlete_000818	France	Gold	2018	sport_18
athlete_000819	United States	NA	2019	sport_19
athlete_000820	Italy	Gold	2000	sport_20
athlete_000821	France	NA	2001	sport_21
athlete_000822	France	Bronze	2002	sport_22
athlete_000823	Kenya	Bronze	2003	sport_23
athlete_000824	United States	NA	2004	sport_24
athlete_000825	United States	NA	2005	sport_25
athlete_000826	Germany	NA	2006	sport_26
athlete_000827	Germany	NA	2007	sport_27
athlete_000828	United States	NA	2008	sport_28
athlete_000829	France	NA	2009	sport_29
athlete_000830	France	Bronze	2010	sport_30
athlete_000831	Kenya	Bronze	2011	sport_31
athlete_000832	Japan	NA	2012	sport_32
athlete_000833	Germany	Bronze	2013	sport_33
athlete_000834	United States	Bronze	2014	sport_34
athlete_000835	United States	NA	2015	sport_35
athlete_000836	Kenya	Gold	2016	sport_36
athlete_000837	Soviet Union	NA	2017	sport_37
athlete_000838	France	NA	2018	sport_38
athlete_000839	United States	NA	2019	sport_39
athlete_000840	France	NA	2000	sport_0
athlete_000841	United States	Gold	2001	sport_1
athlete_000842	Japan	Bronze	2002	sport_2
athlete_000843	Germany	Bronze	2003	sport_3
athlete_000844	Germany	NA	2004	sport_4
athlete_000845	Soviet Union	NA	2005	sport_5
athlete_000846	Italy	NA	2006	sport_6
athlete_000847	Soviet Union	NA	2007	sport_7
athlete_000848	Soviet Union	Silver	2008	sport_8
athlete_000849	United States	Bronze	2009	sport_9
athlete_000850	Soviet Union	Bronze	2010	sport_10
athlete_000851	Germany	Bronze	2011	sport_11
athlete_000852	United States	Gold	2012	sport_12
athlete_000853	United States	NA	2013	sport_13
athlete_000854	Italy	Silver	2014	sport_14
athlete_000855	France	NA	2015	sport_15
athlete_000856	Japan	NA	2016	sport_16
athlete_000857	United States	Gold	2017	sport_17
athlete_000858	France	Bronze	2018	sport_18
athlete_000859	United States	Gold	2019	sport_19
athlete_000860	Japan	Gold	2000	sport_20
athlete_000861	United States	NA	2001	sport_21
athlete_000862	Soviet Union	NA	2002	sport_22
athlete_000863	France	NA	2003	sport_23
athlete_000864	Soviet Union	Silver	2004	sport_24
athlete_000865	Japan	Silver	2005	sport_25
athlete_000866	Soviet Union	Bronze	2006	sport_26
athlete_000867	France	NA	2007	sport_27
athlete_000868	United States	NA	2008	sport_28
athlete_000869	Kenya	Gold	2009	sport_29
athlete_000870	Germany	Bronze	2010	sport_30
athlete_000871	Japan	NA	2011	sport_31
athlete_000872	Japan	Gold	2012	sport_32
athlete_000873	Soviet Union	NA	2013	sport_33
athlete_000874	Japan	Bronze	2014	sport_34
athlete_000875	United States	NA	2015	sport_35
athlete_000876	United States	Silver	2016	sport_36
athlete_000877	Soviet Union	Gold	2017	sport_37
athlete_000878	United States	Gold	2018	sport_38
athlete_000879	United States	NA	2019	sport_39
athlete_000880	United States	Bronze	2000	sport_0
athlete_000881	France	Silver	2001	sport_1
athlete_000882	Italy	Gold	2002	sport_2
athlete_000883	Japan	NA	2003	sport_3
athlete_000884	Japan	Bronze	2004	sport_4
athlete_000885	United States	Gold	2005	sport_5
athlete_000886	France	Bronze	2006	sport_6
athlete_000887	United States	NA	2007	sport_7
athlete_000888	Italy	Gold	2008	sport_8
athlete_000889	Germany	NA	2009	sport_9
athlete_000890	United States	NA	2010	sport_10
athlete_000891	Soviet Union	Bronze	2011	sport_11
athlete_000892	Soviet Union	NA	2012	sport_12
athlete_000893	Japan	Silver	2013	sport_13
athlete_000894	Italy	Bronze	2014	sport_14
athlete_000895	Japan	NA	2015	sport_15
athlete_000896	Kenya	NA	2016	sport_16
athlete_000897	Germany	NA	2017	sport_17
athlete_000898	Germany	NA	2018	sport_18
athlete_000899	Soviet Union	Bronze	2019	sport_19
athlete_000900	France	NA	2000	sport_20
athlete_000901	Japan	Silver	2001	sport_21
athlete_000902	Germany	NA	2002	sport_22
athlete_000903	Italy	NA	2003	sport_23
athlete_000904	United States	NA	2004	sport_24
athlete_000905	United States	NA	2005	sport_25
athlete_000906	United States	Bronze	2006	sport_26
athlete_000907	Soviet Union	Bronze	2007	sport_27
athlete_000908	France	NA	2008	sport_28
athlete_000909	Germany	Bronze	2009	sport_29
athlete_000910	Kenya	NA	2010	sport_30
athlete_000911	Italy	Gold	2011	sport_31
athlete_000912	Kenya	Gold	2012	sport_32
athlete_000913	Soviet Union	Gold	2013	sport_33
athlete_000914	Germany	Gold	2014	sport_34
athlete_000915	Italy	Gold	2015	sport_35
athlete_000916	United States	NA	2016	sport_36
athlete_000917	United States	NA	2017	sport_37
athlete_000918	Italy	NA	2018	sport_38
athlete_000919	Kenya	Bronze	2019	sport_39
athlete_000920	Italy	Bronze	2000	sport_0
athlete_000921	Soviet Union	NA	2001	sport_1
athlete_000922	France	Silver	2002	sport_2
athlete_000923	Italy	NA	2003	sport_3
athlete_000924	Kenya	Gold	2004	sport_4
athlete_000925	Germany	Gold	2005	sport_5
athlete_000926	Japan	Bronze	2006	sport_6
athlete_000927	Japan	NA	2007	sport_7
athlete_000928	Italy	Gold	2008	sport_8
athlete_000929	Japan	Bronze	2009	sport_9
athlete_000930	United States	Silver	2010	sport_10
athlete_000931	Japan	NA	2011	sport_11
athlete_000932	United States	NA	2012	sport_12
athlete_000933	Soviet Union	Silver	2013	sport_13
athlete_000934	United States	Gold	2014	sport_14
athlete_000935	Kenya	NA	2015	sport_15
athlete_000936	Germany	Bronze	2016	sport_16
athlete_000937	United States	Bronze	2017	sport_17
athlete_000938	United States	Gold	2018	sport_18
athlete_000939	Soviet Union	NA	2019	sport_19
athlete_000940	Japan	NA	2000	sport_20
athlete_000941	Kenya	Bronze	2001	sport_21
athlete_000942	Japan	NA	2002	sport_22
athlete_000943	United States	Bronze	2003	sport_23
athlete_000944	United States	NA	2004	sport_24
athlete_000945	United States	NA	2005	sport_25
athlete_000946	Germany	Bronze	2006	sport_26
athlete_000947	Italy	Gold	2007	sport_27
athlete_000948	Germany	NA	2008	sport_28
athlete_000949	France	Gold	2009	sport_29
athlete_000950	Germany	NA	2010	sport_30
athlete_000951	Soviet Union	NA	2011	sport_31
athlete_000952	United States	Gold	2012	sport_32
athlete_000953	Germany	Bronze	2013	sport_33
athlete_000954	France	Bronze	2014	sport_34
athlete_000955	Kenya	NA	2015	sport_35
athlete_000956	United States	Bronze	2016	sport_36
athlete_000957	United States	Silver	2017	sport_37
athlete_000958	Italy	Silver	2018	sport_38
athlete_000959	Soviet Union	NA	2019	sport_39
athlete_000960	Kenya	Silver	2000	sport_0
athlete_000961	Germany	NA	2001	sport_1
athlete_000962	United States	NA	2002	sport_2
athlete_000963	United States	NA	2003	sport_3
athlete_000964	United States	Bronze	2004	sport_4
athlete_000965	Kenya	NA	2005	sport_5
athlete_000966	Japan	NA	2006	sport_6
athlete_000967	United States	Bronze	2007	sport_7
athlete_000968	Germany	Silver	2008	sport_8
athlete_000969	France	Bronze	2009	sport_9
athlete_000970	Italy	NA	2010	sport_10
athlete_000971	Italy	Silver	2011	sport_11
athlete_000972	United States	Silver	2012	sport_12
athlete_000973	Italy	Gold	2013	sport_13
athlete_000974	Kenya	NA	2014	sport_14
athlete_000975	Italy	Gold	2015	sport_15
athlete_000976	Germany	NA	2016	sport_16
athlete_000977	United States	NA	2017	sport_17
athlete_000978	Soviet Union	NA	2018	sport_18
athlete_000979	Italy	NA	2019	sport_19
athlete_000980	Germany	NA	2000	sport_20
athlete_000981	United States	NA	2001	sport_21
athlete_000982	United States	Bronze	2002	sport_22
athlete_000983	Kenya	Gold	2003	sport_23
athlete_000984	Soviet Union	NA	2004	sport_24
athlete_000985	Soviet Union	Bronze	2005	sport_25
athlete_000986	United States	NA	2006	sport_26
athlete_000987	Japan	Gold	2007	sport_27
athlete_000988	Kenya	NA	2008	sport_28
athlete_000989	United States	Silver	2009	sport_29
athlete_000990	United States	Gold	2010	sport_30
athlete_000991	Japan	Bronze	2011	sport_31
athlete_000992	Germany	NA	2012	sport_32
athlete_000993	Soviet Union	Bronze	2013	sport_33
athlete_000994	Japan	NA	2014	sport_34
athlete_000995	Italy	NA	2015	sport_35
athlete_000996	Japan	Gold	2016	sport_36
athlete_000997	Japan	Gold	2017	sport_37
athlete_000998	United States	Silver	2018	sport_38
athlete_000999	Kenya	NA	2019	sport_39
athlete_001000	Kenya	NA	2000	sport_0
athlete_001001	France	Bronze	2001	sport_1
athlete_001002	Soviet Union	Gold	2002	sport_2
athlete_001003	Germany	NA	2003	sport_3
athlete_001004	France	NA	2004	sport_4
athlete_001005	France	Bronze	2005	sport_5
athlete_001006	United States	NA	2006	sport_6
athlete_001007	Kenya	Gold	2007	sport_7
athlete_001008	Soviet Union	NA	2008	sport_8
athlete_001009	Kenya	Gold	2009	sport_9
athlete_001010	Italy	NA	2010	sport_10
athlete_001011	Kenya	Bronze	2011	sport_11
athlete_001012	Germany	NA	2012	sport_12
athlete_001013	Germany	Gold	2013	sport_13
athlete_001014	France	NA	2014	sport_14
athlete_001015	Italy	Bronze	2015	sport_15
athlete_001016	United States	Silver	2016	sport_16
athlete_001017	Germany	NA	2017	sport_17
athlete_001018	United States	NA	2018	sport_18
athlete_001019	Italy	Gold	2019	sport_19
athlete_001020	United States	Gold	2000	sport_20
athlete_001021	Soviet Union	Gold	2001	sport_21
athlete_001022	Germany	Gold	2002	sport_22
athlete_001023	Germany	Silver	2003	sport_23
athlete_001024	Germany	Bronze	2004	sport_24
athlete_001025	Italy	Silver	2005	sport_25
athlete_001026	United States	NA	2006	sport_26
athlete_001027	France	Gold	2007	sport_27
athlete_001028	Japan	Bronze	2008	sport_28
athlete_001029	United States	NA	2009	sport_29
athlete_001030	Italy	NA	2010	sport_30
athlete_001031	Italy	NA	2011	sport_31
athlete_001032	United States	Gold	2012	sport_32
athlete_001033	United States	NA	2013	sport_33
athlete_001034	Kenya	NA	2014	sport_34
athlete_001035	Japan	Bronze	2015	sport_35
athlete_001036	United States	Gold	2016	sport_36
athlete_001037	Germany	NA	2017	sport_37
athlete_001038	Italy	Silver	2018	sport_38
athlete_001039	Japan	Silver	2019	sport_39
athlete_001040	Germany	Silver	2000	sport_0
athlete_001041	United States	Silver	2001	sport_1
athlete_001042	Germany	NA	2002	sport_2
athlete_001043	Soviet Union	Gold	2003	sport_3
athlete_001044	Germany	NA	2004	sport_4
athlete_001045	United States	NA	2005	sport_5
